id,r2_2A3
1967f93336f3,-0.2428
d916786e4eb9,-0.2511
bb5845a5cb27,-0.2537
e6e2da9ea7d2,-0.2541
65dbb4598a1b,-0.2576
33233b55393b,-0.2594
d92e8799a5f0,-0.2611
d38f5d3d6c9a,-0.266
10b5cbbbe158,-0.272
290c16b10e4a,-0.2758
d7dfe531b809,-0.2782
c241b4bcae92,-0.2784
7053f22c5dff,-0.282
28c1c758ddc0,-0.285
f0613a1759b7,-0.2873
8df4abb80ef2,-0.2873
08bf7a64f173,-0.2878
3ee4d3976960,-0.2884
365bfaec6875,-0.2886
b3d5550f7f3f,-0.2891
776b9e5e86a4,-0.2892
5e92854a3fd1,-0.2909
fe3a616d337e,-0.2926
eeaf6a761ac2,-0.2949
ef1ca59b24fd,-0.3014
e332d5b0d9e0,-0.3108
d770902bba79,-0.3184
515f163a635b,-0.3195
b57af15711c8,-0.3223
ffd912b71b7e,-0.324
c8c90ab35506,-0.3261
cdb9fe930872,-0.3271
0e0be737767c,-0.3301
d03d7886057b,-0.3324
61ab6bcfa950,-0.3327
0addac1da883,-0.3329
1e5bf9f77197,-0.3331
37b4710b6949,-0.3355
6b829d0ec95b,-0.3362
66ac0f7e2315,-0.3374
3ebd2565d850,-0.3401
7226bf938d08,-0.3402
937540944f9e,-0.3418
04f5f56395f3,-0.3428
ae93205c96a3,-0.3431
6c4fd1569e6b,-0.3432
89be4bffc98e,-0.347
1dcffbcdea81,-0.347
f7cd7521523b,-0.3502
eae6e4b7d687,-0.3506
7d2fe15f9cf7,-0.3533
af5f6f9b128c,-0.3564
6cdedaadde35,-0.363
bab83144ef26,-0.3678
407660e6430c,-0.3685
35f569b27e23,-0.3699
b2a34789739d,-0.3721
90a23e92614e,-0.3727
5647cdfa2729,-0.3799
47b21b4002ce,-0.3816
ee8b96ab57dd,-0.3824
d6f17c5a11a5,-0.3829
8b362a2901d9,-0.3832
22639b7f32f4,-0.3833
8e8a60e43051,-0.389
b93646f362c3,-0.3892
5ec42cb35bbb,-0.3902
4d10e1716ba7,-0.3905
de70b6cf5299,-0.3954
b77f663a83cd,-0.3974
901816a3d382,-0.4005
dec32823125b,-0.4017
617eb91fe7b6,-0.4033
48a80de9b030,-0.4037
fbe7d090c2fd,-0.4084
967b3b151f5b,-0.411
1c17ba3f8117,-0.4153
ffbcc7924922,-0.4188
88e78d4dd1c6,-0.4214
4d1b39c5cd2c,-0.423
fa27375ab75f,-0.4246
435068ae02ee,-0.4255
7a39f1856112,-0.4279
ab75bdde1bcb,-0.4294
e8dafda1de26,-0.4335
2368e63fb47c,-0.4367
e5b0652d17ef,-0.4419
1d789d60e73e,-0.4427
269a31ebe936,-0.4444
6a505da8ef44,-0.4447
698cf37adb4e,-0.445
48c6faf06ac4,-0.4454
79b70523ea7b,-0.4455
a2b9f6e38557,-0.4472
1790638e2ad5,-0.4499
7cc859208a75,-0.4504
f8a0693525e0,-0.4508
30646cdd9147,-0.452
9cd1a64c2b70,-0.4528
084cfd624220,-0.4528
47c52a5a830b,-0.4544
f2e0951f665e,-0.4545
30464439b174,-0.4551
33339521e092,-0.4572
f116c5ea9a69,-0.4605
ee3cef05bc42,-0.4614
4eac7b45ed90,-0.4642
79ddf10887c9,-0.4646
56380b1d1343,-0.4653
0860bbfceb82,-0.4668
205278827540,-0.467
cfbc2982c623,-0.4682
052f6d845eca,-0.4754
80ec691cb9b1,-0.4788
b1d67bd43377,-0.4829
e055894316c4,-0.4829
468f3c758aa0,-0.4843
9547a17aafae,-0.4844
3d1226a905c0,-0.4868
3dcc6b204de6,-0.4872
110217df813b,-0.4878
a3ce05f16005,-0.489
a3d6136a9cbe,-0.4899
8e31b338b570,-0.4962
8b13e8a6ac42,-0.5001
2014876b17a7,-0.502
907ac06876a8,-0.5059
d939af8d6635,-0.5061
846bbed9f9dd,-0.5087
29f7821f08fc,-0.5131
12a5f1e931dc,-0.5177
b0c00cf15045,-0.5177
5c9d22370318,-0.5225
09a09dc27020,-0.5229
319220911cac,-0.5234
a7edf8666ceb,-0.525
4d00dcb9c471,-0.5265
0d8ae1f6226d,-0.5269
60fde185aa57,-0.527
26b8493ca284,-0.5273
ff3a8b93c1fa,-0.5274
899286029cd9,-0.535
5fbdf2f0c20a,-0.535
bf9fb94c2339,-0.5353
504b12cdb342,-0.5413
82fae7f3fae1,-0.542
17fddaa78a06,-0.542
6caeabb758f0,-0.5434
67ee51bab69a,-0.544
4f5e15a84806,-0.5462
fdea3b70a9c6,-0.5481
22d561de7dcd,-0.5497
35fa86324834,-0.5508
44058c3d91f9,-0.5527
05a211bfcd40,-0.5533
89f817d4e1df,-0.5537
808ce2e0bff4,-0.556
b02141f2c775,-0.5565
f0544b5c07ae,-0.5566
33cf78eb9d4c,-0.5597
7dc200d996ee,-0.5622
8b0ab76abac9,-0.5636
3e402c15f73b,-0.5664
00974b23037d,-0.5679
f7c9a2a6514e,-0.5685
9145c7c18292,-0.5721
9a1e0425e279,-0.5742
cf1deb6b6835,-0.5743
4510d5b555c2,-0.5782
f27a7f1e3c8e,-0.5793
9206ab5ec492,-0.5797
dc4b96f5884c,-0.5841
1577af91c874,-0.5854
fe0223b9cc91,-0.586
39a78793ecc0,-0.5867
881e2f3a5218,-0.5869
a581a5ccf558,-0.587
824f0371c153,-0.5885
7fd410930c24,-0.589
9cc7c38031db,-0.5901
50237523d7a7,-0.5954
a191a19b9942,-0.5955
cf3783d63fc5,-0.5968
3cbcc776e66a,-0.5987
40c2e963280b,-0.6009
032ffabb2938,-0.6018
b6af6b9d0efc,-0.6029
7e17be88b5ad,-0.6039
2c977bb129c6,-0.6049
8c006860b435,-0.6054
cca6696f6ea8,-0.6066
f01e8d0f056b,-0.6066
846853e85ae6,-0.6119
f08d1c127a28,-0.6132
c8284a89d5ad,-0.6152
2187646bb1fb,-0.6179
318d5f79e887,-0.6204
e9bccc6a1d9a,-0.6205
c6f5baa774b4,-0.6206
1e3421bbcc8b,-0.6206
a0786adc57d9,-0.6217
3203cb4d9948,-0.623
5a282b9ecf30,-0.6267
29a90598a1cf,-0.6311
82169bbaff9d,-0.6312
60aeacda3947,-0.6313
69f0b4116d87,-0.6326
95ccd793c178,-0.633
11713a897bb7,-0.6332
f942b9c4323b,-0.634
38496aaee399,-0.6346
d052fa1601fd,-0.6351
206184900d35,-0.6415
89a014dc9da7,-0.6417
b2d01bda40a7,-0.6432
c3f8ea4ed64f,-0.6433
0f0ff6f06b87,-0.644
bc489a769404,-0.6453
01fa6e719cc0,-0.6484
57b67521a5ad,-0.6502
72ae54c90e94,-0.6511
0ad2ea34924d,-0.6523
0608c23c892e,-0.6524
51241ef174e7,-0.6575
67c2f26cab97,-0.658
a5f50d6616cc,-0.6593
d4729a3bbc9e,-0.6594
2852f501016d,-0.6615
3dc90a46cbe5,-0.6635
9a9a3030328c,-0.6641
fc5170d1e21a,-0.6645
7f59a0634048,-0.6651
d9922d52a79f,-0.6653
b5e824b1341a,-0.6673
f90674d62cb0,-0.6678
f745a63fc713,-0.6705
395e06977def,-0.6716
d2a2ec3f8a82,-0.6737
a5086e152f64,-0.6753
63f982d424dc,-0.6764
7e4b1cf0a600,-0.6769
3a88c85c0d51,-0.6828
f6c79015b9f5,-0.6833
9666e18296de,-0.6836
059dc2e9c732,-0.6848
a44ee0f87ef2,-0.6864
5a3a56c90043,-0.6876
9f30ed0cdbb0,-0.6898
